Produkt;Firma;Pytanie ;Stopień trudności pytania;Odpowiedź moja;OWU krótkie;OWU pełne;Uwagi
KL;WARTA;Czy w ubezpieczeniu WARTA Travel pokrywane są koszty planowego leczenia za granicą?;Proste;Nie;§ 12 ust. 1 pkt 3;§ 12 ust. 1. W ubezpieczeniu kosztów leczenia i assistance  WARTA nie odpowiada za koszty powstałe w wyniku: pkt 3) planowego leczenia, w tym: zabiegów, operacji, badań, testów diagnostycznych, kosztu leków;
KL;WARTA;Co zawiera pakiet korzyści dla osób uprawiających narciarstwo/snowboarding w ubezpieczeniu WARTA Travel?;Proste;"W ramach ubezpieczenia bagażu podróżnego - Zwrot udokumentowanych kosztów wypożyczenia sprzętu narciarskiego/ snowboardowego oraz Zwrot udokumentowanych kosztów karnetu, a w ramach odpowiedzialności cywilnej - OC za szkody rzeczowe spowodowane w wypożyczonym sprzęcie narciarskim/snowboardowym";§ 2 ust. 4 tabela;"§ 2 ust. 4 W przypadku rozszerzenia umowy ubezpieczenia o uprawianie sportów zimowych, w zależności od przedmiotu ubezpieczenia objętego ochroną w zakresie dodatkowym, WARTA oferuje pakiet korzyści dla osób uprawiających narciarstwo/snowboarding, zapewniający dodatkową  ochronę ubezpieczeniową do wysokości limitów wskazanych w poniższej tabeli: Nagłówek - Przedmiot ubezpieczenia/Dodatkowa ochrona, Wiersz - 1. Bagaż podróżny- Zwrot udokumentowanych kosztów wypożyczenia sprzętu narciarskiego/snowboardowego, Zwrot udokumentowanych kosztów karnetu 2. Odpowiedzialność cywilna - OC za szkody rzeczowe spowodowane  w wypożyczonym sprzęcie narciarskim/snowboardowym";
KL;WARTA;Ile w WARTA Travel musi wynosić opóźnienia dostarczenia bagażu przez zawodowego przewoźnika lotniczego aby otrzymać odszkodowanie za opóźnienie dostarczenia bagażu;Proste;powyżej 5 godzin od chwili przylotu;§ 7 ust. 7;"§ 7 ust. 7. Opóźnienie dostarczenia bagażu – WARTA zwraca wydatki poniesione w związku z opóźnieniem dostarczenia bagażu podróżnego w przypadku opóźnienia dostarczenia bagażu przez zawodowego przewoźnika lotniczego, liczonego od 5. godziny od chwili przylotu Ubezpieczonego do celu podróży; WARTA zwraca Ubezpieczonemu udokumentowane wydatki poniesione do czasu dostarczenia bagażu na zakup przedmiotów niezbędnych do osobistego użytku: odzieży i przyborów toaletowych.";
KL;WARTA;Czy w ubezpieczeniu WARTA Travel pokrywane są koszty powstałe w następstwie uprawiania wspinaczki górskiej?;Złożone;Co do zasady wyłączona jest odpowiedzialnośc w przypadku uprawiania wspinaczki w Himalajach lub Karakorum i sportów ekstrmalnych. Za opłatą dodatkowej składki można rozszeżyć ochronę o oprawianie sportów ekstremalnych, do których m.in. należy wspinaczka górska powyżej 3 500 m n.p.m., każda wspinaczka przy użyciu specjalistycznego sprzętu lub bez asekuracji (bouldering), każda wspinaczka lodowa, trekking powyżej 3 500 m n.p.m. Czyli wspinaczka poniżej 3 500 m n.p.m. i w innych górach niż Himalaje i Karakorum jest objęta ochroną;§ 3 ust. 18 § 12 ust. 6 pkt 2 § 11 ust. 1 pkt. 1 ppkt. 13;"§3 ust. 18) Sporty ekstremalne – uprawianie następujących sportów: górskie: narciarstwo i snowboarding poza oznakowanymi trasami, skitouring, freeskiing, kolarstwo górskie, speleologia, wspinaczka górska powyżej 3 500 m n.p.m., każda wspinaczka przy użyciu specjalistycznego sprzętu lub bez asekuracji (bouldering), każda wspinaczka lodowa, trekking powyżej 3 500 m n.p.m., abseiling (zjazd na linie); wodne: rafting, kajakarstwo górskie, żeglarstwo oceaniczne; lotnicze: paralotniarstwo, spadochroniarstwo, szybownictwo; motorowe: rajdy samochodowe lub motorowe, motocross, żużel oraz udział w zawodach triathlonowych (w tym Ironman). § 12 ust. 6. WARTA nie odpowiada również za koszty powstałe w następstwie zdarzeń związanych z: pkt. 2) uprawianiem sportów ekstremalnych ...o ile umowa ubezpieczenia nie została rozszerzona o ww. ryzyka. § 11 ust. 1 pkt. 1. WARTA nie ponosi odpowiedzialności za zdarzenia i koszty powstałe w wyniku: ppkt. 13) udziału w każdym rodzaju wyprawy w Himalaje lub Karakorum, uprawiania każdego rodzaju trekkingu czy wspinaczki górskiej w Himalajach lub Karakorum";
KL;WARTA;Czy w ubezpieczeniu WARTA Travel mogę wykupić zniesienie udziału własnego za wynajętym pojeździe?;Złożone;Tak, ale zniesienie dotyczy tylko najmu samochodów osobowych lub kamperów nie starszych niż 10 lat, o masie całkowitej do 3,5t, przewożące do 9 osób, a suma ubezpieczenia wynosi 5 000 zł;§ 2 ust. 1 tabela wiersz 7 § 2 ust. 3 § 9 ust. 1 i 2;"§ 2 ust. 1. Z zastrzeżeniem ust. 4, na wniosek Ubezpieczającego, umowa ubezpieczenia może być zawarta w zakresie podstawowym, a po opłaceniu dodatkowej składki w zakresie dodatkowym – zgodnie z tabelą poniżej. Kolumna - PRZEDMIOT UBEZPIECZENIA W ZAKRESIE DODATKOWYM pkt. 7 Zniesienie udziału własnego w wynajętym pojeździe, Kolimna - SUMA UBEZPIECZENIA (SU) 5 000 zł § 9 ust. 1. Przedmiotem ubezpieczenia jest kwota stanowiąca udział własny Ubezpieczonego, określona w umowie najmu sporządzonej z przedsiębiorcą trudniącym się zawodowo wynajmem pojazdów, tj. wypożyczalnią pojazdów, jaką ubezpieczony w ramach umowy najmu pokrył we własnym zakresie w związku z wystąpieniem szkody polegającej na uszkodzeniu pojazdu w wyniku kolizji lub wypadku drogowego podczas podróży. ust, 2. Przedmiotem najmu może być jeden pojazd: samochód osobowy lub kamper (nie starsze niż 10 lat,o masie całkowitej do 3,5 t, przewożące do 9 osób).";
KL;WARTA;Czy w ubezpieczeniu WARTA Travel suma ubezpieczenia dla kosztów leczenia, assistance odnosi się do wszystkich zdarzeń w okresie ubezpieczenia czy jednego zdarzenia?;Złożone;Suma ubezpieczenia dla kosztów leczenia, assistance odnosi się do każdego zdarzenia objętego ochroną i zaistniałego w okresie ubezpieczenia i każdego Ubezpieczonego odrębnie z wyjątkiem limitów ustalonych dla pakietu zwierzę w podróży, które dotyczą jednego i wszystkich zdarzeń objętych ochroną i zaistniałych w okresie ubezpieczenia i każdego Ubezpieczonego odrębnie;§ 2 ust. 6. (z wyłączeniem zakresu określonego w tabeli w ust. 1 pkt 2 lit. p §2 ust. 1 pkt 2 lit. p;"§ 2 ust. 6. Suma ubezpieczenia dla kosztów leczenia, assistance (z wyłączeniem zakresu określonego w tabeli w ust. 1 pkt 2 lit. p) i następstw nieszczęśliwych wypadków odnosi się do: 1) każdego zdarzenia objętego ochroną i zaistniałego w okresie ubezpieczenia z zastrzeżeniem ust. 7; 2) każdego Ubezpieczonego odrębnie. §2 ust. 1 pkt 2 lit. p) - pakiet zwierzę w podróży, limit 5 000 zł w tym: – hotel dla zwierząt za granicą limit 1 000 zł – hotel dla zwierząt w RP limit 1 000 zł ";
KL;WARTA;Czy w zakresie podstawowym WARTA Travel gwarantuje ochronę w zakresie odpowiedzialności cywilnej Ubezpieczonego?;Bardzo Złożone;Nie, w zakresie podstawowym WARTA Travel nie gwarantuje ochrony w zakresie odpowiedzialności cywilnej Ubezpieczonego, ubezpieczenie to znajduje się w zakresie dodatkowym;§ 2 ust. 1 tabela wiersz 5.;§ 2 ust. 1. Z zastrzeżeniem ust. 4, na wniosek Ubezpieczającego, umowa ubezpieczenia może być zawarta w zakresie podstawowym, a po opłaceniu dodatkowej składki w zakresie dodatkowym – zgodnie z tabelą poniżej. Kolumna - PRZEDMIOT UBEZPIECZENIA W ZAKRESIE DODATKOWYM wiersz 5;
KL;WARTA;Czy w zakresie dodatkowym WARTA Travel gwarantuje ochronę podczas wykonywania pracy o zwiększonym ryzyku?;Bardzo Złożone;Nie, w zakresie dodatkowym WARTA Travel nie gwarantuje ochronę podczas wykonywania pracy o zwiększonym ryzyku, ale umowa ubezpieczenia po opłaceniu dodatkowej składki może zostać rozszerzona o ryzyka związane z wykonywaniem pracy o zwiększonym ryzyku;§ 2 ust. 2 pkt 3;§ 2 ust. 2. Z zastrzeżeniem ust. 3 oraz wyłączeń określonych w Rozdziale III, po opłaceniu dodatkowej składki umowa ubezpieczenia może być rozszerzona o ryzyka związane z: pkt 3) wykonywaniem pracy o zwiększonym ryzyku;
KL;WARTA;Czy w ubezpieczeniu WARTA Travel sumy ubezpieczenia na polisie dotyczą łącznie wszystkich Ubezpieczonych wymienionych w polisie czy każdego Ubezpieczonego odrębnie?;Bardzo Złożone;Z małymi wyjątkami suma ubezpieczenia wymieniona na polisie dotyczy każdego wymienionego w polisie Ubezpieczonego odrębnie z wyjątkiem sumy ubezpieczenia dla zniesienia udziału własnego w wynajętym pojeździe, pakietu bezpieczny dom oraz pakietu zwierzę w podróży i dotyczy ona łącznie wszystkich Ubezpieczonych;§ 2 ust. 6 uat. 7 ust. 8;"§ 2 ust. 6. Suma ubezpieczenia dla kosztów leczenia, assistance (z wyłączeniem zakresu określonego w tabeli w ust. 1 pkt 2 lit. p) i następstw nieszczęśliwych wypadków odnosi się do: 1) każdego zdarzenia objętego ochroną i zaistniałego w okresie ubezpieczenia z zastrzeżeniem ust. 7; 2) każdego Ubezpieczonego odrębnie. 7. Suma ubezpieczenia dla odpowiedzialności cywilnej, bagażu podróżnego, kontynuacji leczenia powypadkowego w RP oraz limitów określonych w tabeli w ust. 1 pkt 1 lit. d i e odnosi się do: 1) jednego i wszystkich zdarzeń objętych ochroną i zaistniałych w okresie ubezpieczenia; 2) każdego Ubezpieczonego odrębnie. 8. Suma ubezpieczenia dla zniesienia udziału własnego w wynajętym pojeździe, pakietu bezpieczny dom oraz pakietu zwierzę w podróży dotyczy łącznie wszystkich Ubezpieczonych i odnosi się do jednego i wszystkich zdarzeń objętych ochroną i zaistniałych w okresie ubezpieczenia.";
KL;WARTA;Jaki jest zakres terytorialny w ubezpieczeniu WARTA Travel?;Bardzo proste;Ubezpieczenie gwarantuje ochronę na całym świecie pod warunkliem wyboru wariantu Świat z USA;https://www.warta.pl/ubezpieczenie-turystyczne-zagraniczne-warta-travel/;Nasze ubezpieczenie zapewnia komfort beztroskiego podróżowania. Zakres terytorialny polisy dla podróży zagranicznych obejmuje cały świat – również USA, jeśli wybierzesz zakres terytorialny Świat z USA. ;
KL;PZU;Czy w ubezpieczeniu PZU Wojażer umowa ubezpieczenia rezygnacji z uczestnictwa albo skrócenia uczestnictwa w zorganizowanym wypoczynku może być zawarta w dowolnym terminie?;Proste;"Nie, aby zawrzeć umowa ubezpieczenia rezygnacji z uczestnictwa albo skrócenia uczestnictwa w zorganizowanym wypoczynku muszą być spełnione następujące warunki - umowa może być zawarta nie później niż w ciągu 3 dni roboczych od: 1)  dnia zawarcia umowy uczestnictwa w zorganizowanym wypoczynku lub 2)  dnia opłacenia kosztów albo zaliczki z tego tytułu lub 3)  dnia opłacenia biletów lub wpłaty zaliczki za bilety w zależności od tego, które z tych zdarzeń miało miejsce wcześniej";§ 9;"§ 9 Umowa ubezpieczenia rezygnacji z uczestnictwa albo skrócenia uczestnictwa w zorganizowanym wypoczynku (Klauzula Nr 12), może być zawarta nie później niż w ciągu 3 dni roboczych od: 1)  dnia zawarcia umowy uczestnictwa w zorganizowanym wypoczynku lub 2)  dnia opłacenia kosztów albo zaliczki z tego tytułu lub 3)  dnia opłacenia biletów lub wpłaty zaliczki za bilety, w zależności od tego, które z tych zdarzeń miało miejsce wcześniej";
KL;PZU;Na jaki okres może zostać zawarte ubezpieczenie PZU Wojażer?;Proste;Umowa ubezpiueczenia może zawarta na czas oznaczony od 1 dnia do 1 roku;§ 7;§ 7 Umowę ubezpieczenia zawiera się na czas oznaczony od 1 dnia do 1 roku;
KL;PZU;Czy ubezpieczenie PZU Wojażer w zakresie podstawowym obejmuje ubezpieczenie odpowiedzialności cywilnej?;Proste;Nie, ubezpieczenie w zakresie podstawowym podstawowym obejmuje ubezpieczenie kosztów leczenia oraz ubezpieczenie assistance;§ 3 ust. 1;§ 3 ust. 1. Ubezpieczenie w zakresie podstawowym obejmuje ubezpieczenie kosztów leczenia oraz ubezpieczenie assistance Pakiet Podstawowy określone w Rozdziale II.;
KL;PZU;Czy ubezpieczenie PZU Wojażer może zostać zawarte bez imiennego wskazania Ubezpieczonych?;Złożone;Tak ale tylko w szczególnych przypadkach (w przypadku niemożliwej w momencie zawierania umowy ubezpieczenia imiennej identyfikacji ubezpieczonych i objęcia ochroną wszystkich osób należących do określonej w umowie ubezpieczenia grupy osób) i może to być tylko umowa ubezpieczenia zbiorowego. W takim przypadku Ubezpieczający jest zobowiązany między innymi prowadzić imienną ewidencję Ubezpieczonych i udostępniac ją na żadanie PZU;§ 8 ust. 4 ust. 5;"§ 8 ust. 4.  Umowa ubezpieczenia zbiorowego może być wyjątkowo zawarta bez imiennego wskazania ubezpieczonych w przypadku niemożliwej w momencie zawierania umowy ubezpieczenia imiennej identyfikacji ubezpieczonych i objęcia ochroną wszystkich osób należących do określonej w umowie ubezpieczenia grupy osób. ust. 5. W umowie ubezpieczenia zbiorowego, o której mowa w ust. 4, ubezpieczający zobowiązany jest podać liczbę ubezpieczonych albo, w przypadku polisy otwartej, liczbę ubezpieczonych i liczbę osobodni do wykorzystania w okresie ubezpieczenia. Zobowiązany jest także prowadzić imienną ewidencję ubezpieczonych oraz udostępniać ją do wglądu na każde żądanie PZU SA. Ewidencja powinna zawierać imię, nazwisko, PESEL lub datę urodzenia oraz okres podróży. W przypadku zawarcia umowy ubezpieczenia zbiorowego ubezpieczający zobowiązany jest podać do wiadomości PZU SA imię, nazwisko i numer telefonu osoby prowadzącej ewidencję.";
KL;PZU;Czy w ubezpieczeniu PZU Wojażer w ramach kosztów leczenia pokrywane są koszty leczenia jeżeli Ubezpieczony był po spożyciu alkoholu?;Złożone;Tak, z wyłączeniem zdarzeń powstałych w następstwie kierowania przez ubezpieczonego pojazdem silnikowym w stanie nietrzeźwości, chyba że nie miało to wpływu na zajście wypadku ubezpieczeniowego;§ 30 ust. 1 pkt 2 lit. b;§ 30 ust. 1. Z odpowiedzialności PZU SA wyłączone są koszty leczenia, które powstały z tytułu lub w następstwie: pkt 2) kierowania przez ubezpieczonego pojazdem silnikowym lit. b) w stanie nietrzeźwości lub pod wpływem środków odurzających, substancji psychotropowych, środków zastępczych lub nowych substancji psychoaktywnych, w rozumieniu przepisów o przeciwdziałaniu narkomanii, chyba że nie miało to wpływu na zajście wypadku ubezpieczeniowego ;
KL;PZU;Czy w ubezpieczeniu PZU Wojażer w ramach kosztów leczenia pokrywane są koszty leczenia spowodowane epidemią?;Złożone;Nie, w przypadku epidemii, o których władze kraju docelowego podróży poinformowały w środkach masowego przekazu, o czym Ubezpieczony mógł powziąć informację na dzień zawarcia umowy ubezpieczenia, chyba że koszty te dotyczą nagłego zachorowania na COVID-19, kwarantanny lub izolacji;§ 30 ust. 1 pkt 22;"§ 30 ust. 1. Z odpowiedzialności PZU SA wyłączone są koszty leczenia, które powstały z tytułu lub w następstwie: pkt 22) epidemii, o których władze kraju docelowego podróży poinformowały w środkach masowego przekazu, o czym ubezpieczony mógł powziąć informację na dzień zawarcia umowy ubezpieczenia, chyba że koszty te dotyczą nagłego zachorowania na COVID-19, kwarantanny lub izolacji ";
KL;PZU;Czy w ubezpieczeniu PZU Wojażer objęte są ochroną koszty leczenia chorób przewlekłych?;Bardzo Złożone;Z ochrony wyłaczone są koszty leczenia chorób przewlekłych, z wyjątekiem wystąpienia zaostrzeń albo powikłań chorób przewlekłych, a za opłatą dodatkowej składki ochrona może zostać rozszerzona ryzyko o wystąpieniem zaostrzeń albo powikłań chorób przewlekłych do 100% sumy ubezpieczenia;§ 30 ust. 1 pkt 6 § 4 ust. 1 pkt. 1 lit. a;§ 30 ust. 1. Z odpowiedzialności PZU SA wyłączone są koszty leczenia, które powstały z tytułu lub w następstwie: pkt 6) leczenia chorób przewlekłych § 4 ust. 1. Odpowiedzialność PZU SA może być rozszerzona: pkt 1)  w ubezpieczeniu kosztów leczenia, ubezpieczeniach assistance, ubezpieczeniu kontynuacji leczenia po podróży: lit. a) o koszty leczenia związane z zaostrzeniem lub powikłaniami choroby przewlekłej lub choroby będącej przyczyną hospitalizacji w okresie 12 miesięcy przed zawarciem umowy ubezpieczenia lub zabiegu przeprowadzonego w ramach chirurgii jednego dnia w okresie 30 dni przed zawarciem umowy ubezpieczenia, z zastrzeżeniem § 25 ust. 1 pkt 6 oraz § 28 ust. 4,;
KL;PZU;Czy w ubezpieczeniu PZU Wojażer w ramach kosztów leczenia pokrywane są koszty leczenia jeżeli Ubezpieczony uległ wypadkowi podczas wykonywania pracy fizycznej?;Bardzo Złożone;Nie chyba, że ubezpieczenia za opłatą diodatkowej składki zostało rozszerzone o ryzyka wynikające z wykonywania pracy fizycznej;§ 30 ust. 1 pkt 21 § 4 ust. 1 pkt. 3;§ 30 ust. 1. Z odpowiedzialności PZU SA wyłączone są koszty leczenia, którepowstały z tytułu lub w następstwie: pkt 21) wykonywania przez ubezpieczonego pracy fizycznej, chyba że odpowiedzialność PZU SA została rozszerzona w tym zakresie za zapłatą dodatkowej składki ubezpieczeniowej § 4 ust. 1. Odpowiedzialność PZU SA może być rozszerzona: ust. 3) w ubezpieczeniu kosztów leczenia, ubezpieczeniach assistance, ubezpieczeniu NNW, ubezpieczeniu kontynuacji leczenia po podróży – o ryzyka wynikające z wykonywania pracy fizycznej;
KL;PZU;Jak pakiet muszę wykupić w ubezpieczeniu PZU Wojażer mieć pokryte koszty dosłania niezbędnych przedmiotów osobistych?;Bardzo Złożone;Aby zostały pokryte koszty dosłania niezbędnych przedmiotów osobistych należy rozszerzyć ubezpieczenie Pakiet Podstawowy o ubezpieczenie assistance Pakiet Rozszerzony (Klauzula 1) lub Pakiet Biznes (Klauzula4);Klauzla nr 1 § 3 ust. 1 pkt 1 Klauzula nr 4 § 3 ust. 1 pkt 1;"Klauzula nr 1 - § 3 ust. 1. W przypadku podróży ubezpieczonego po terytorium RP lub poza granice RP, PZU SA na podstawie niniejszej Klauzuli organizuje i pokrywa koszty następujących usług assistance: pkt 1)  Dosłanie niezbędnych przedmiotów osobistych W przypadku uszkodzenia, zniszczenia lub utraty przedmiotów osobistych ubezpieczonego, z wyłączeniem wszelkich dokumentów bez względu na ich charakter, niezbędnych do kontynuowania podróży, PZU SA organizuje i pokrywa koszty wysyłki do miejsca pobytu ubezpieczonego zastępczych przedmiotów osobistych. W przypadku utraty leków, których stałe przyjmowanie wynika z zaleceń lekarza, PZU SA organizuje i pokrywa koszty wysyłki leków do miejsca pobytu ubezpieczonego. Warunkiem wykonania usługi jest udostępnienie Centrum Pomocy tych przedmiotów lub leków Klauzula 4 - § 3 ust. 1. W przypadku podróży służbowej ubezpieczonego po terytorium RP lub poza granice RP, PZU SA na podstawie niniejszej Klauzuli organizuje i pokrywa koszty następujących usług assistance: pkt 1) Dosłanie niezbędnych przedmiotów osobistych lub służbowych W przypadku uszkodzenia, zniszczenia lub utraty przedmiotów osobistych lub służbowych, z wyłączeniem wszelkich dokumentów bez względu na ich charakter, niezbędnych do kontynuowania podróży służbowej lub wykonywania obowiązków służbowych, PZU SA organizuje i pokrywa koszty wysyłki do miejsca pobytu ubezpieczonego zastępczych przedmiotów osobistych lub służbowych. W przypadku utraty leków, których stałe przyjmowanie wynika z zaleceń lekarza, PZU SA organizuje i pokrywa koszty wysyłki leków do miejsca pobytu ubezpieczonego. Warunkiem wykonania usługi jest udostępnienie Centrum Pomocy tych przedmiotów lub leków";
KL;PZU;Czy mogę skorzystać z pomocy stomatologa w PZU Wojażer jeżeli podczas podróży zagranicznej rozbolał mnie nagle ząb?;Bardzo proste;Tak, zostanie umówiona wizyta i pokryte koszty takiej wizyty;https://www.pzu.pl/dla-ciebie-i-rodziny/majatek-podroze-oc/podroze/ubezpieczenie-wyjazdu-turystycznego;"Jestem za granicą i bardzo rozbolał mnie ząb. Mam ubezpieczenie PZU Wojażer. Czy umówicie mnie do dentysty i za niego zapłacicie? Tak. Zadzwoń na +48 22 566 55 44 (opłata zgodna z taryfą operatora) lub porozmawiaj z nami przez internet, wybierając „Wojażer – zgłoś pomoc”, a następnie kliknij „Audio”. Możesz także samodzielnie umówić się na wizytę i za nią zapłacić, a my zwrócimy Ci koszty leczenia.";
AUTO;HESTIA;Jaki wariant Autocasco ma w standardzie stałą sumę ubezpieczenia z HESTIA Ergo7 komunikacyjne?;Proste;Nie, stała suma ubezpieczenia jest dostępna w Wariancie III All Risk;§ 4 ust. 1 Tabela - Wiersz - Stała Suma Ubezpieczenia;§ 4 ust. 1 Ubezpieczenie Autocasco obejmuje utratę, zniszczenie lub uszkodzenie pojazdu, które wystąpiły nagle, nieprzewidzianie i niezależnie od woli Ubezpieczonego, a ponadto miały charakter losowy i niepewny. Zakres ochrony ubezpieczeniowej określa umowa ubezpieczenia według wariantu wybranego przez Klienta spośród jednego ze wskazanych poniżej: Tabela - Wiersz - Stała Suma Ubezpieczenia Kolumna - Wariant III All Risk;
AUTO;HESTIA;Czy w ramach Car Assistance i usługi dowozu paliwa porywane są koszty zakupu paliwa przez Ubezpieczyciela z HESTIA Ergo7 komunikacyjne?;Proste;Nie, Ubezpieczenie nie pokrywa kosztów zakupu paliwa. W ramach usługi dowozu paliwa zapewniony jest dowóz paliwa na miejsce zdarzenia lub transport do najbliższej stacji benzynowej.;§ 15 ust. 1 Tabela - Wiersz - Dowóz paliwa;§ 15 Usługi wskazane w tabeli zamieszczonej w § 4 i § 14 obejmują organizację i pokrycie kosztów w poniższym zakresie: Tabela - Wiersz - Dowóz paliwa (Kolumna RODZAJ USŁUGI), Kolumna - zakres ZAKRES USŁUGI - W ramach usługi zapewniamy dowóz paliwa na miejsce zdarzenia lub transport do najbliższej stacji benzynowej. Ubezpieczenie nie pokrywa kosztów zakupu paliwa ;
AUTO;HESTIA;Jakie są skutki nieopłacenia pierwszej raty składki z HESTIA Ergo7 komunikacyjne?;Proste;W przypadku gdy Ubezpieczyciel ponosi odpowiedzialność przed zapłaceniem składki lub jej pierwszej raty, a składka nie zostanie zapłacona w terminie, może wypowiedzieć umowę ubezpieczenia ze skutkiem natychmiastowym. W przypadku braku wypowiedzenia, umowa ubezpieczenia wygasa z końcem okresu, za który przypadała niezapłacona składka.;§ 3 ust. 2;§ 3 ust. 2. W przypadku gdy ERGO Hestia ponosi odpowiedzialność przed zapłaceniem składki lub jej pierwszej raty, a składka nie zostanie zapłacona w terminie, ERGO Hestia może wypowiedzieć umowę ubezpieczenia ze skutkiem natychmiastowym i żądać zapłaty składki za okres, w którym udzielała ochrony ubezpieczeniowej. W przypadku braku wypowiedzenia, umowa ubezpieczenia wygasa z końcem okresu, za który przypadała niezapłacona składka;
